,award_description,desc_purpose
0,TO AID SMALL BUSINESSES IN MAINTAINING WORK FORCE DURING COVID-19 PANDEMIC.,1
64,PILOT BROADBAND LOAN GRANT COMBO - LOAN,1
101,SECTION 306 FFB - OTHER,0
168,FARM LABOR HOUSING LOANS AND GRANTS,1
309,EXPANSION OF DIGITAL LENDING AND FINANCIAL SOLUTION PORTFOLIO TO SMES IN MEXICO.,1
334,ABOUND CAPITAL IS A VENTURE DEBT FUND FOCUSED ON SOUTH AND SOUTHEAST ASIA EXCLUDING INDIA.,0
582,FINANCIAL ASSISTANCE (LOANS) TO INSOLVENT MULTIEMPLOYER PENSION PLANS,1
617,"26 MILES OF VARIABLY PRICED MANAGED LANES ALONG I-77 AND I-277 IN CHARLOTTE, NORTH CAROLINA NORTH THROUGH MECKLENBURG AND IREDELL COUNTIES",1
997,COMMUNITY DISASTER LOANS,0
1188,"GREAT BASIN TRANSMISSION SOUTH, LLC LOAN NUMBER 1113",0
1222,THE SR-91 CORRIDOR IMPROVEMENT PROJECT WILL EXTEND THE TOLLED EXPRESS LANES WEST INTO RIVERSIDE COUNTY FROM THE ORANGE COUNTY LINE TO I-15.,1
1226,DIRECT BB TREASURY RATE LOAN - (FY09-10) STIMULUS,0
1337,MANDATORY GUARANTEED BIOREFINERY FIXED RATE LOANS,1
1866,DISTRIBUTION AND MAINTENANCE OF SOLAR HOME KITS AND APPLIANCES FOR AN OFF-GRID ELECTRIFICATION BUSINESS IN CHAD,1
1994,DEVELOPMENT CREDIT AUTHORITY PERMITS USAID TO ISSUE PARTIAL LOAN GUARANTEES TO PRIVATE LENDERS FOR ECONOMIC DEVELOPMENT. FOREIGN ASSIST ACT 1961,1
2395,TELE SECTION 306 FFB,0
2463,DIRECT COMMUNITY FACILITY LOANS,0
2525,"FOTOWATIO NEVADA SOLAR, LLC LOAN NUMBER",0
2712,GUARANTEED RENEWABLE ENERGY LOANS - MANDATORY,0
2866,MANDATORY GUARANTEED BIOREFINERY VARIABLE RATE LOANS,0
2874,REGIONAL CONNECTOR IS A 1.9 MILE UNDERGROUND LIGHT RAIL CONNECTION BEN THE LITTLE TOKYO/ARTS DISTRICT STATION TO THE 7TH STREET/METRO CENTER STATION,1
